"","Project","Country","Owner.s.","Ticker.Symbol.s.","Study.Level.Completed","Compliant","Doc.Reference","Weight","Confidence","value"
"1","Nechalacho Basal","CAN","Avalon Rare Metals Inc.","TSX:AVL, MKT:AVL","FS","NI 43-101","Doc 1","Tonnes","Measured",12560000
"2","Nechalacho Upper","CAN","Avalon Rare Metals Inc.","TSX:AVL, MKT:AVL","FS","NI 43-101","Doc 1","Tonnes","Measured",0
"3","Strange Lake Enriched","CAN","Quest Rare Minerals Ltd.","TSX:QRM, MKT:QRM","PFS","NI 43-101","Doc 2","Tonnes","Measured",0
"4","Strange Lake Granite","CAN","Quest Rare Minerals Ltd.","TSX:QRM, MKT:QRM","PFS","NI 43-101","Doc 2","Tonnes","Measured",0
"5","Mountain Pass","USA","Molycorp Inc.","NYSE:MCP","Post FS","SEC","Doc 3","Tonnes","Measured",0
"6","Round Top","USA","Texas Rare Earth Resources Corp.","OTCQX:TRER","PEA","NI 43-101","Doc 4","Tonnes","Measured",209502000
"7","Dubbo Zirconia Project","AUS","Alkane Resources Ltd.","ASX:ALK, OTCQX:ANLKY","FS","JORC","Doc 5","Tonnes","Measured",35700000
"8","Bokan - Dotson","USA","Ucore Rare Metals Inc.","TSX.V:UCU, OTCQX:UURAF","PEA","NI 43-101","Doc 6","Tonnes","Measured",0
"9","Zandkopsdrift ","ZAF","Frontier Rare Earths Ltd.","TSX:FRO, PK:FREFF","PEA","NI 43-101","Doc 7","Tonnes","Measured",0
"10","Mount Weld Duncan","AUS","Lynas Corporation Ltd.","ASX:LYC, OTCQX:LYSDY","PEA","JORC","Doc 8","Tonnes","Measured",4499000
"11","Mount Weld CLD","AUS","Lynas Corporation Ltd.","ASX:LYC, OTCQX:LYSDY","Post FS","JORC","Doc 9","Tonnes","Measured",6800000
"12","Steenkampskraal - In Situ","ZAF","Great Western Minerals  Ltd.","TSX.V:GWG, OTCQX:GWMGF","FS","NI 43-101","Doc 10","Tonnes","Measured",85000
"13","Steenkampskraal - Tailings","ZAF","Great Western Minerals  Ltd.","TSX.V:GWG, OTCQX:GWMGF","FS","NI 43-101","Doc 10","Tonnes","Measured",0
"14","Browns Range","AUS","Northern Minerals Limited","ASX:NTU","FS","JORC","Doc 11","Tonnes","Measured",0
"15","Tantalus","MDG","Tantalus Rare Earths AG","F:TAE:GR","NI 43-101","NI 43-101","Doc12","Tonnes","Measured",40104000
"16","Norra Kärr","SWE","Tasman Metals Ltd.","TSX.V:TSM, MKT:TAS, F:T61","PFS","NI 43-101","Doc 13","Tonnes","Measured",0
"17","Olserum","SWE","Tasman Metals Ltd.","TSX.V:TSM, MKT:TAS, F:T61","NI 43-101","NI 43-101","Doc 14","Tonnes","Measured",0
"18","Eco Ridge","CAN","Pele Mountain Resources Inc.","TSX.V:GEM, OTCQX:GOLDF","NI 43-101","NI 43-101","Doc 15","Tonnes","Measured",0
"19","Brockmans","AUS","Hastings Rare Metals Limited","ASX:HAS","JORC","JORC","Doc16","Tonnes","Measured",0
"20","Ashram Total","CAN","Commerce Resources Corp.","TSX.V:CCE, OTCQX:CMRZF, F:D7H","PEA","NI 43-101","Doc17","Tonnes","Measured",1590000
"21","Ashram MHREO","CAN","Commerce Resources Corp.","TSX.V:CCE, OTCQX:CMRZF, F:D7H","PEA","NI 43-101","Doc17","Tonnes","Measured",1140000
"22","Kipawa","CAN","Matamec Explorations Inc.","TSX.V:MAT, OTCQX:MHREF","FS","NI 43-101","Doc18","Tonnes","Measured",10478000
"23","Elliott Lake Teasdale","CAN","Appia Energy Corp.","N/A","NI 43-101","NI 43-101","Doc19","Tonnes","Measured",0
"24","Clay-Howells","CAN","Canada Rare Earth Corp.","TSX.V:LL","NI 43-101","NI 43-101","Doc20","Tonnes","Measured",0
"25","Two Tom","CAN","Canada Rare Earth Corp.","TSX.V:LL","NI 43-101","NI 43-101","Doc21","Tonnes","Measured",0
"26","Lavergne-Springer","CAN","Canada Rare Earth Corp.","TSX.V:LL","NI 43-101","NI 43-101","Doc22","Tonnes","Measured",0
"27","Hoidas Lake ","CAN","Great Western Minerals  Ltd.","TSX.V:GWG, OTCQX:GWMGF","NI 43-101","NI 43-101","Doc23","Tonnes","Measured",953987
"28","Montviel","CAN","Geomega Resources Inc.","TSX.V:GMA","NI 43-101","NI 43-101","Doc24","Tonnes","Measured",0
"29","Buckton","CAN","DNI Metals Inc.","TSX.V:DNI, F:DG7","PEA","NI 43-101","Doc25","Tonnes","Measured",0
"30","Buckton South","CAN","DNI Metals Inc.","TSX.V:DNI, F:DG7","NI 43-101","NI 43-101","Doc26","Tonnes","Measured",0
"31","Foxtrot","CAN","Search Minerals Inc.","TSX.V:SMY","PEA","NI 43-102","Doc27","Tonnes","Measured",0
"32","Charley Creek - Cattle Creek ","AUS","Crossland Strategic Metals Ltd.","ASX:CUX","PEA","NI 43-101","Doc 28","Tonnes","Measured",0
"33","Charley Creek - Western Dam ","AUS","Crossland Strategic Metals Ltd.","ASX:CUX","PEA","NI 43-101","Doc 28","Tonnes","Measured",0
"34","Bear Lodge","USA","Rare Element Resources Ltd.","TSX:RES, MKT:REE","PFS","NI 43-101","Doc 29","Tonnes","Measured",2690000
"35","Nolans","AUS","Arafura Resources Ltd.","ASX:ARU, PK:ARAFF","PFS","JORC","Doc 30","Tonnes","Measured",4300000
"36","Glenover ","ZAF","Galileo Resources PLC","AIM:GLR","SAMREC","SAMREC","Doc 31","Tonnes","Measured",0
"37","Araxá","BRA","MBAC Fertilizer Corp.","TSX:MBC, OTCQX:MBCFF","NI 43-101","NI 43-101","Doc 32","Tonnes","Measured",1330000
"38","Milo","AUS","GBM Resources Ltd.","ASX:GBZ","PEA","JORC","Doc 33","Tonnes","Measured",0
"39","Sarfartoq","GRL","Hudson Resources Inc.","TSX.V:HUD, OTCQX:HUDRF","","NI 43-101","Doc 34","Tonnes","Measured",0
"40","Lofdal","NAM","Namibia Rare Earths Inc.","TSX:NRE","PEA","NI 43-101","Doc 35","Tonnes","Measured",0
"41","Mrima Hill High Grade","KEN","Pacific Wildcat Resources Corp.","TSX.V:PAW","NI 43-101","NI 43-101","Doc 36","Tonnes","Measured",0
"42","Mrima Hill Main","KEN","Pacific Wildcat Resources Corp.","TSX.V:PAW","NI 43-101","NI 43-101","Doc 36","Tonnes","Measured",0
"43","Songwe Hill","MWI","Mkango Resources Ltd.","TSX.V:MKA","PFS","NI 43-101","Doc 37","Tonnes","Measured",0
