"","Project","Owner.s.","Confidence","variable","value"
"1","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","TREO",4.99619165354331
"2","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","TREO",1.63385579268293
"3","Ashram Total","Commerce Resources Corp.","Measured + Indicated","TREO",1.89581401230349
"4","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","TREO",3.07783185459026
"5","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","TREO",0.615
"6","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","TREO",0.2102
"7","Browns Range","Northern Minerals Limited","Measured + Indicated","TREO",0.695541817
"8","Buckton","DNI Metals Inc.","Measured + Indicated","TREO",0.02522
"9","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","TREO",2.8
"10","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","TREO",3.22
"11","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","TREO",0.89
"12","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","TREO",0.16
"13","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","TREO",0.19333539
"14","Foxtrot","Search Minerals Inc.","Measured + Indicated","TREO",1.0334
"15","Glenover ","Galileo Resources PLC","Measured + Indicated","TREO",1.45146535
"16","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","TREO",2.06598938186929
"17","Kipawa","Matamec Explorations Inc.","Measured + Indicated","TREO",0.380018648614662
"18","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","TREO",1.14
"19","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","TREO",0.621
"20","Montviel","Geomega Resources Inc.","Measured + Indicated","TREO",1.4528
"21","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","TREO",10.0105884057971
"22","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","TREO",5.10102
"23","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","TREO",6.9392
"24","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","TREO",4.4083
"25","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","TREO",1.6423717240265
"26","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","TREO",1.5196
"27","Ngualla","Peak Resources Ltd.","Measured + Indicated","TREO",2.31622857142857
"28","Nolans","Arafura Resources Ltd.","Measured + Indicated","TREO",2.71849316205534
"29","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","TREO",0.56782
"30","Olserum","Tasman Metals Ltd.","Measured + Indicated","TREO",0.5853
"31","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","TREO",0.0632984612607347
"32","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","TREO",1.7696
"33","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","TREO",1.618819603
"34","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","TREO",14.9487817531306
"35","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","TREO",7.172
"36","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","TREO",1.441
"37","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","TREO",0.892
"38","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","TREO",0.0897459362622354
"39","Xiluvo","Promac Lda.","Measured + Indicated","TREO",2.03
"40","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","TREO",1.59
"41","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","TREO",2.284018549
"42","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","TREO",0.069711
"43","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","TREO",4.20662180982679
"44","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","TREO",1.61396598930481
"45","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","TREO",1.88618219706095
"46","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","TREO",2.68530774655172
"47","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","TREO",0.611358750760495
"48","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","TREO",0.2102
"49","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","TREO",0.628212064375697
"50","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","TREO",0.0255780697488354
"51","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","TREO",0.02501
"52","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","TREO",2.86442049411375
"53","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","TREO",3.08779426310584
"54","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","TREO",0.729
"55","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","TREO",0.89
"56","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","TREO",0.156670927271808
"57","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","TREO",0.185940392352622
"58","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","TREO",1.03078133725202
"59","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","TREO",1.25400663801652
"60","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","TREO",2.04410422306114
"61","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","TREO",0.371582853456221
"62","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","TREO",1.1633559382212
"63","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","TREO",0.591454545454545
"64","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","TREO",0.0605
"65","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","TREO",1.45463651237031
"66","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","TREO",9.60911140939597
"67","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","TREO",5.10102
"68","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","TREO",6.93922537432286
"69","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","TREO",4.40811885232659
"70","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","TREO",1.51676369845898
"71","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","TREO",1.422228158071
"72","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","TREO",2.26635897435897
