"","Project","Owner.s.","Confidence","variable","value"
"1","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","Ce",2.48587401574803
"2","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","Ce",0.709722256097561
"3","Ashram Total","Commerce Resources Corp.","Measured + Indicated","Ce",0.869907177033493
"4","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","Ce",1.33463955637708
"5","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","Ce",0.17
"6","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","Ce",0.0127
"7","Browns Range","Northern Minerals Limited","Measured + Indicated","Ce",0.040581913
"8","Buckton","DNI Metals Inc.","Measured + Indicated","Ce",0.0084
"9","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","Ce",1.0808
"10","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","Ce",1.24292
"11","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","Ce",0.32663
"12","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","Ce",0.0726
"13","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","Ce",0.0872395
"14","Foxtrot","Search Minerals Inc.","Measured + Indicated","Ce",0.3945
"15","Glenover ","Galileo Resources PLC","Measured + Indicated","Ce",0.653168471
"16","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","Ce",0.943920738933041
"17","Kipawa","Matamec Explorations Inc.","Measured + Indicated","Ce",0.118736806807226
"18","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","Ce",0.515
"19","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","Ce",0.04
"20","Montviel","Geomega Resources Inc.","Measured + Indicated","Ce",0.7163
"21","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","Ce",4.70719217391304
"22","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","Ce",2.00838
"23","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","Ce",2.978
"24","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","Ce",1.9031
"25","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","Ce",0.606855873323639
"26","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","Ce",0.653
"27","Ngualla","Peak Resources Ltd.","Measured + Indicated","Ce",1.11642217142857
"28","Nolans","Arafura Resources Ltd.","Measured + Indicated","Ce",1.3241395256917
"29","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","Ce",0.126
"30","Olserum","Tasman Metals Ltd.","Measured + Indicated","Ce",0.186
"31","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","Ce",0.00929070979227184
"32","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","Ce",0.8844
"33","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","Ce",0.723545365
"34","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","Ce",6.76470483005367
"35","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","Ce",3.25
"36","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","Ce",0.36
"37","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","Ce",0.27
"38","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","Ce",0.0322174186205327
"39","Xiluvo","Promac Lda.","Measured + Indicated","Ce",0.94
"40","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","Ce",0.722523686
"41","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","Ce",1.006244204
"42","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","Ce",0.031
"43","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","Ce",2.07803817603393
"44","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","Ce",0.701539572192513
"45","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","Ce",0.876607982012366
"46","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","Ce",1.16565862068966
"47","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","Ce",0.17
"48","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","Ce",0.0127
"49","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","Ce",0.0376477081839465
"50","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","Ce",0.0084
"51","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","Ce",0.00815
"52","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","Ce",1.10566631072791
"53","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","Ce",1.19188858555885
"54","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Ce",0.318
"55","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","Ce",0.32663
"56","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","Ce",0.0709354636359038
"57","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","Ce",0.0840936895817991
"58","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","Ce",0.393142174871418
"59","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","Ce",0.565132766433179
"60","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Ce",0.934657751513982
"61","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","Ce",0.115877013824885
"62","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Ce",0.536095686135274
"63","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","Ce",0.0386363636363636
"64","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","Ce",0.026
"65","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","Ce",0.715741061452514
"66","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","Ce",4.51840912751678
"67","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","Ce",2.00838
"68","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","Ce",2.9780173804363
"69","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","Ce",1.903019005105
"70","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","Ce",0.568652977925864
"71","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","Ce",0.622229403884796
"72","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","Ce",1.09238502564103
"73","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","Ce",1.25188858350951
"74","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","Ce",0.132247848537005
"75","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","Ce",0.189384615384615
"76","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","Ce",0.00931899588898923
"77","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","Ce",0.857460937312717
"78","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","Ce",0.659035968867717
"79","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Ce",6.56747980613893
"80","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Ce",3.25
"81","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","Ce",0.36
"82","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","Ce",0.27
"83","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","Ce",0.032136980173176
"84","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Ce",0.544
"85","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","Ce",1.3
"86","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","Ce",0.94
"87","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","Ce",0.697138563910162
"88","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","Ce",0.984510357916431
"89","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","Ce",1.27172438162544
"90","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","Ce",0.323784294461453
"91","Kipawa","Matamec Explorations Inc.","Proven + Probable","Ce",0.1195
"92","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","Ce",5.4835175257732
"93","Mountain Pass","Molycorp Inc.","Proven + Probable","Ce",3.896182135155
"94","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","Ce",0.569042059719178
"95","Ngualla","Peak Resources Ltd.","Proven + Probable","Ce",2.18911826086957
"96","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","Ce",0.124
"97","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","Ce",0.312
"98","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","Dy",0.0134026771653543
"99","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","Dy",0.0154737804878049
"100","Ashram Total","Commerce Resources Corp.","Measured + Indicated","Dy",0.00954996582365003
"101","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","Dy",0.0115502772643253
"102","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","Dy",0.026
"103","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","Dy",0.0186
"104","Browns Range","Northern Minerals Limited","Measured + Indicated","Dy",0.058831202
"105","Buckton","DNI Metals Inc.","Measured + Indicated","Dy",0.00058
"106","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","Dy",0.0588
"107","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","Dy",0.06762
"108","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","Dy",0.0178
"109","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","Dy",0.0017
"110","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","Dy",0.00164164
"111","Foxtrot","Search Minerals Inc.","Measured + Indicated","Dy",0.0228
"112","Glenover ","Galileo Resources PLC","Measured + Indicated","Dy",0.011132346
"113","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","Dy",0.00837708218211025
"114","Kipawa","Matamec Explorations Inc.","Measured + Indicated","Dy",0.0143176007041958
"115","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","Dy",0.007
"116","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","Dy",0.05
"117","Montviel","Geomega Resources Inc.","Measured + Indicated","Dy",0.0023
"118","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","Dy",0.0120852173913043
"119","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","Dy",0.06477
"120","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","Dy",0.041
"121","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","Dy",0.0352
"122","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","Dy",0.0438117628049766
"123","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","Dy",0.017
"124","Ngualla","Peak Resources Ltd.","Measured + Indicated","Dy",0.00370596571428571
"125","Nolans","Arafura Resources Ltd.","Measured + Indicated","Dy",0.00854098814229249
"126","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","Dy",0.0249
"127","Olserum","Tasman Metals Ltd.","Measured + Indicated","Dy",0.021
"128","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","Dy",0.00355177548279528
"129","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","Dy",0.0034
"130","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","Dy",0.012333815
"131","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","Dy",0.147602862254025
"132","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","Dy",0.08
"133","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","Dy",0.066
"134","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","Dy",0.032
"135","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","Dy",0.00171868836785796
"136","Xiluvo","Promac Lda.","Measured + Indicated","Dy",0.02
"137","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","Dy",0.0058
"138","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","Dy",0.017712519
"139","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","Dy",0.00062
"140","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","Dy",0.0120821845174973
"141","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","Dy",0.0151832085561497
"142","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","Dy",0.00791733718782623
"143","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","Dy",0.011226
"144","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","Dy",0.026
"145","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","Dy",0.0186
"146","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","Dy",0.0527471982229654
"147","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","Dy",0.000589422888127248
"148","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","Dy",0.00062
"149","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","Dy",0.0601528303763887
"150","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","Dy",0.0648436795252225
"151","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Dy",0.007
"152","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","Dy",0.0178
"153","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","Dy",0.0017
"154","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","Dy",0.00157310616642766
"155","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","Dy",0.0226545187362234
"156","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","Dy",0.00959305303290929
"157","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Dy",0.00824547056762689
"158","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","Dy",0.0137974193548387
"159","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Dy",0.00549316527605184
"160","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","Dy",0.0477272727272727
"161","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","Dy",8e-04
"162","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","Dy",0.00235323224261772
"163","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","Dy",0.0116005369127517
"164","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","Dy",0.06477
"165","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","Dy",0.0410008913044255
"166","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","Dy",0.0352000454516807
"167","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","Dy",0.0385738442315702
"168","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","Dy",0.0156324179504354
"169","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","Dy",0.00362617435897436
"170","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","Dy",0.00814052854122622
"171","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","Dy",0.0249851979345955
"172","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","Dy",0.0214230769230769
"173","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","Dy",0.0035461927302428
"174","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","Dy",0.00337052618962004
"175","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","Dy",0.0116442518850394
"176","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Dy",0.142988691437803
"177","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Dy",0.08
"178","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","Dy",0.066
"179","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","Dy",0.0301852308877596
"180","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","Dy",0.0015551732317962
"181","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Dy",0.008
"182","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","Dy",0.0015
"183","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","Dy",0.02
"184","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","Dy",0.00534153166421208
"185","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","Dy",0.0173258000499058
"186","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","Dy",0.0123498939929329
"187","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","Dy",0.0176449206790982
"188","Kipawa","Matamec Explorations Inc.","Proven + Probable","Dy",0.0147
"189","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","Dy",0.0140783505154639
"190","Mountain Pass","Molycorp Inc.","Proven + Probable","Dy",0
"191","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","Dy",0.056380095760274
